image_id,edge_density,mean_strength,max_strength,std_strength
157036,0.42794411953290457,0.14429236864771455,0.9570854620704876,0.16862394046845228
187029,0.3460081217090563,0.10167295292392751,0.9350964629260244,0.10652363673851704
71046,0.2811704587405522,0.07840273744148984,0.9066110100704848,0.11993770164182145
299091,0.18893012350956276,0.06479136860558819,0.9802248940221072,0.06885145127758951
242078,0.36363754120763464,0.12250629716554821,0.9823416758565449,0.1477485521630404
232038,0.25706439725131314,0.08069438157102266,0.9590342546240094,0.11169040323546321
173036,0.35763369408229223,0.10077228389161638,0.9167242940374178,0.09860385336726774
198054,0.44679114772572714,0.15862223766044928,0.9730893190512401,0.19127348788940735
388016,0.30543195963756714,0.09702091596231907,0.9648539140759027,0.10592369670069485
292066,0.36506240244558,0.0964971604306154,0.975835909818161,0.08978562102225635
189011,0.21530948633752373,0.08069728562758452,0.9491961749491129,0.10478273680950881
59078,0.33973225562010606,0.09364556635938949,0.9615537329764761,0.12392265233722377
108041,0.44109170277394577,0.12434856788574283,0.9637223216837775,0.12027998891722924
66075,0.15671530624801652,0.05154474462336658,0.9698974078475193,0.07897849401394698
20008,0.253249655118814,0.07836022127742817,0.9181199576045949,0.11302195956668606
370036,0.22973296805072507,0.0748773833987515,0.9775775447249471,0.08303040639960743
41025,0.45781439239383165,0.12386838887785241,0.9524227443971394,0.1187323633009225
207056,0.22368378443144799,0.08399332633243345,0.9582298314134866,0.08443808192355526
314016,0.36731627385832993,0.10210673249794246,0.9838549166058776,0.08204698939517786
188091,0.1777384861497011,0.05699896494715521,0.9710885814803321,0.08505643183165622
56028,0.44284687275341483,0.134789480026944,0.9781491430960687,0.14009391422697678
134008,0.3377892630229079,0.10930173221027786,0.8634761896885117,0.10752873652836392
153093,0.36708311474666616,0.10896156855663928,0.9742340948497832,0.12157959360656308
54005,0.3836309350328042,0.1082002909064826,0.9434693581074469,0.10286767448322837
65019,0.41043775623214873,0.14121570042224713,0.9777013790470126,0.17061923301266127
176039,0.3165976904294661,0.09282437019239877,0.9634020795221431,0.12970584865435145
187003,0.39861140795720235,0.12485614747462989,0.9571956743125346,0.13895813084960773
61086,0.5469718460372666,0.15850083061902115,0.9644080741078254,0.14787097739714583
147021,0.17266079882902313,0.06074752983668075,0.9817167936323595,0.07930798300691921
353013,0.31942798297938485,0.09085192844949598,0.9769848018090544,0.10752967663867577
317080,0.23024462276798727,0.07379545888266398,0.9866796073589961,0.10762058334810048
28096,0.16495359486013692,0.07482105573079004,0.9285566042577715,0.07135190304048072
35010,0.475787073917915,0.15522035659054334,0.9736441028645704,0.16188367824514593
151087,0.33668175724250493,0.09481721866572142,0.9777512218925014,0.11718669084796977
254033,0.5705014863893368,0.1544900768683478,0.975046423622062,0.13523982375615184
