image_id,edge_density,mean_strength,max_strength,std_strength
157036,0.8135763369408229,207.46196591990986,255,99.30928459224332
187029,0.7363812410541383,187.77721646880525,255,112.35171193521171
71046,0.9203891166507989,234.69922474595373,255,69.02590972864105
299091,0.8627016664399842,219.98892494219598,255,87.7613170083314
242078,0.8390554465320821,213.95913886568093,255,93.70734926677257
232038,0.8912701342607885,227.27388423650106,255,79.38149673797594
173036,0.7949495145756827,202.7121262167991,255,102.9533198587995
198054,0.8400981858925785,214.22503740260748,255,93.4613175999372
388016,0.8759204927429226,223.35972564944527,255,84.06642015937804
292066,0.8076113496674244,205.94089416519324,255,100.51505420863559
189011,0.773051988005259,197.12825694134105,255,106.80896888983898
59078,0.5827164331837229,148.59269046184934,255,125.74318434444314
108041,0.7267439977720351,185.31971943186898,255,113.63595401465132
66075,0.8939190808349687,227.949365612917,255,78.5249956890322
20008,0.9051690079727462,230.8180970330503,255,74.71024578643282
370036,0.8484595307025213,216.35718032914295,255,91.43659827418216
41025,0.8715163761892734,222.2366759282647,255,85.330019536286
207056,0.8861276805202039,225.962558532652,255,81.00231211023598
314016,0.8341396752611706,212.7056171915985,255,94.84857826556376
188091,0.8940291837488099,227.97744185594652,255,78.48906725197392
56028,0.8530903297258438,217.53803408009014,255,90.27404067057441
134008,0.8398844567068866,214.17053646025607,255,93.51186079686052
153093,0.7568344764606447,192.9927914974644,255,109.39352934186581
54005,0.8726821717475923,222.53395379563605,255,84.99880955618683
65019,0.6653195251326093,169.65647890881536,255,120.32905420558497
176039,0.8956418676044844,228.38867623914354,255,77.95976530694071
187003,0.8483299978627081,216.3241494549906,255,91.4686857541831
61086,0.8104869787112777,206.67417957137584,255,99.93847752092053
147021,0.8350528817818538,212.93848485437272,255,94.63886783869049
353013,0.7954287860829917,202.8343404511629,255,102.86392540044484
317080,0.6699373708719503,170.83402957234733,255,119.91001576608573
28096,0.9037700533027636,230.46136359220472,255,75.2011144015421
35010,0.746672625177298,190.401519420211,255,110.90378196720262
151087,0.847475081119941,216.10614568558495,255,91.67988299918855
254033,0.864081191183995,220.3407037519187,255,87.38909386673183
189003,0.770571434122836,196.49571570132318,255,107.21866075857405
144067,0.8613739548318987,219.65035848213418,255,88.1167488711094
33066,0.864081191183995,220.3407037519187,255,87.38909386673184
138032,0.8535566479491713,217.65694522703868,255,90.15528396787815
15088,0.8219830182447004,209.60566965239863,255,97.5443950769658
249061,0.9167557204940383,233.77270872597975,255,70.44403012351769
