sobel_edge_density,canny_edge_density,multiscale_edge_density,log_edge_density,sobel_segments,canny_segments,multiscale_segments,log_segments,sobel_regions,canny_regions,multiscale_regions,log_regions,sobel_watershed_regions,canny_watershed_regions,multiscale_watershed_regions,log_watershed_regions,image_id,dataset,image_height,image_width,canny_vs_sobel_edge_density,canny_vs_sobel_segments,canny_vs_sobel_regions,canny_vs_sobel_watershed,multiscale_vs_sobel_edge_density,multiscale_vs_sobel_segments,multiscale_vs_sobel_regions,multiscale_vs_sobel_watershed,log_vs_sobel_edge_density,log_vs_sobel_segments,log_vs_sobel_regions,log_vs_sobel_watershed,multiscale_vs_canny_edge_density,multiscale_vs_canny_segments,multiscale_vs_canny_regions,multiscale_vs_canny_watershed,log_vs_canny_edge_density,log_vs_canny_segments,log_vs_canny_regions,log_vs_canny_watershed,log_vs_multiscale_edge_density,log_vs_multiscale_segments,log_vs_multiscale_regions,log_vs_multiscale_watershed
0.9816322433144863,0.1847397361416053,0.9955958834463507,0.8135763369408229,1,1,1,1,100,100,100,100,48,59,43,17,157036,train,481,321,-0.796892507172881,0,0,11,0.013963640131864463,0,0,-5,-0.1680559063736634,0,0,-31,0.8108561473047454,0,0,-16,0.6288366007992175,0,0,-42,-0.18201954650552787,0,0,-26
0.9867617437710896,0.13552373365457476,0.9999352335800934,0.7363812410541383,1,1,1,1,100,100,100,100,43,52,38,18,187029,train,481,321,-0.8512380101165149,0,0,9,0.013173489809003791,0,0,-5,-0.25038050271695134,0,0,-25,0.8644114999255186,0,0,-14,0.6008575073995635,0,0,-34,-0.2635539925259551,0,0,-20
0.9731672722326928,0.12931911062752185,0.9869495663888187,0.9203891166507989,1,1,1,1,100,100,100,100,36,43,32,8,71046,train,321,481,-0.843848161605171,0,0,7,0.013782294156125863,0,0,-4,-0.052778155581893915,0,0,-28,0.8576304557612968,0,0,-11,0.791070006023277,0,0,-35,-0.06656044973801978,0,0,-24
0.9779276040958284,0.05731828161734704,0.9994494854307938,0.8627016664399842,1,1,1,1,100,100,100,100,41,55,37,11,299091,train,321,481,-0.9206093224784813,0,0,14,0.021521881334965465,0,0,-4,-0.1152259376558441,0,0,-30,0.9421312038134467,0,0,-18,0.8053833848226372,0,0,-44,-0.13674781899080957,0,0,-26
0.987765623279642,0.14712987610183872,0.9998380839502334,0.8390554465320821,1,1,1,1,100,100,100,100,59,70,52,17,242078,train,481,321,-0.8406357471778033,0,0,11,0.012072460670591423,0,0,-7,-0.14871017674755993,0,0,-42,0.8527082078483947,0,0,-18,0.6919255704302434,0,0,-53,-0.16078263741815135,0,0,-35
0.9516907273916619,0.15297180717741465,0.9690999410625579,0.8912701342607885,1,1,1,1,100,100,100,100,28,36,26,6,232038,train,321,481,-0.7987189202142473,0,0,8,0.017409213670895984,0,0,-2,-0.060420593130873446,0,0,-22,0.8161281338851433,0,0,-10,0.7382983270833738,0,0,-30,-0.07782980680176943,0,0,-20
0.9532321681854392,0.17815946787909404,0.9707061482762417,0.7949495145756827,1,1,1,1,100,100,100,100,29,38,23,9,173036,train,321,481,-0.7750727003063451,0,0,9,0.017473980090802477,0,0,-6,-0.15828265360975646,0,0,-20,0.7925466803971477,0,0,-15,0.6167900466965888,0,0,-29,-0.17575663370055894,0,0,-14
0.9854858452989295,0.19736271138140296,0.9991256533312608,0.8400981858925785,1,1,1,1,100,100,100,100,44,52,39,16,198054,train,481,321,-0.7881231339175265,0,0,8,0.013639808032331335,0,0,-5,-0.145387659406351,0,0,-28,0.8017629419498579,0,0,-13,0.6427354745111755,0,0,-36,-0.15902746743868235,0,0,-23
0.9808615229175977,0.2331526350217939,0.9952202382108924,0.8759204927429226,1,1,1,1,100,100,100,100,39,60,36,11,388016,train,481,321,-0.7477088878958038,0,0,21,0.0143587152932948,0,0,-3,-0.10494103017467504,0,0,-28,0.7620676031890985,0,0,-24,0.6427678577211287,0,0,-49,-0.11929974546796984,0,0,-25
0.9047804094533066,0.19352853932293185,0.9182388715098996,0.8076113496674244,1,1,1,1,100,100,100,100,45,59,35,11,292066,train,481,321,-0.7112518701303747,0,0,14,0.013458462056592957,0,0,-10,-0.0971690597858822,0,0,-34,0.7247103321869677,0,0,-24,0.6140828103444926,0,0,-48,-0.11062752184247515,0,0,-24
0.9878498196255205,0.07297232530877391,0.9998704671601868,0.773051988005259,1,1,1,1,99,100,100,100,54,65,44,21,189011,train,321,481,-0.9148774943167466,0,1,11,0.012020647534666251,0,1,-10,-0.21479783162026156,0,1,-33,0.9268981418514128,0,0,-21,0.700079662696485,0,0,-44,-0.2268184791549278,0,0,-23
0.6939074228793854,0.15180601161909574,0.7094707935829431,0.5827164331837229,1,1,1,1,100,100,100,100,31,50,23,14,59078,train,321,481,-0.5421014112602898,0,0,19,0.015563370703557622,0,0,-8,-0.11119098969566255,0,0,-17,0.5576647819638474,0,0,-27,0.43091042156462717,0,0,-36,-0.12675436039922017,0,0,-9
0.9886593998743531,0.16116475929560042,0.999980570074028,0.7267439977720351,1,1,1,1,100,100,100,100,46,57,38,34,108041,train,481,321,-0.8274946405787527,0,0,11,0.011321170199674824,0,0,-8,-0.261915402102318,0,0,-12,0.8388158107784276,0,0,-19,0.5655792384764347,0,0,-23,-0.27323657230199283,0,0,-4
